microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	adapter	nmole_L_100_200_bp	nmole_L_200_1000_bp	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate	raw_total_sequences_chicken	raw_total_sequences_human	raw_total_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_total_sequences_mag	reads_mapped_mag	reads_unmapped_mag	read_fraction_singlem	kr_Eukaryota	kr_Bacteria	kr_Archaea	kr_Viruses	total_kraken	bacteria_pct_kraken	eukaryota_pct_kraken	redundancy_nonpareil	coverage_nonpareil	diversity_nonpareil	lowquality_reads_pct	adapter_contamination_pct	host_pct	human_pct	pig_pct	prokreads_pct	mapmag_rawreads_pct	mapmag_filteredreads_pct	mapmag_prokreads_pct	cov_filtering
M300554	82	37.202580091440964	3.896102074154087	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	3	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	5.2716	58206558	55131372	813592	7160591	8730983700	8172554896	233140207	0.52468	0.513674	0.321064	55131372	55120204	55095934	8971	23899	732	55122401	55096305	55095202	55094604	45374113	9720491	0.7241	10564614	2458796	26221	298202	13347833	0.1842093769078471	0.7914853294913115	0.9572	0.9608	18.1333	0.05283229425797691	0.026702627677566274	1.5412352676823804e-4	4.1058947344043263e-4	1.2575902529745876e-5	0.946536024342824	0.7795360962591191	0.8230180268323452	0.8235672771148332	Retained By Filtering
M300555	3	2.665719574140192	1.6750840724337404	Caecum right	negative	MSEB0006	G121eI101M	L06	NA	NA	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	0.6133	6953168	875760	101914	6031725	1042975200	128745512	390780286	0.745773	0.544339	0.354959	875760	875410	852848	298	22401	64	875462	853009	852784	852774	526446	326328	0.7173	178351	45077	457	2742	226627	0.1989039258340798	0.7869803686233326	0.8812000000000001	0.8908	15.9714	0.8740487789163156	0.3746784065431278	4.285816191986157e-5	0.0032216969300899964	9.204437459299129e-6	0.12264538984244304	0.0757131137921592	0.6011304466977254	0.6173335490997615	Retained By Filtering
M300556	4	3.7280275203198614	1.8331047626360457	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	1.1351	4510494	1433242	53662	3174783	676574100	210553963	199416057	0.694974	0.525602	0.352143	1433242	1432714	1401152	451	31201	92	1432791	1401513	1401060	1401044	1031497	369547	0.6218	298787	70613	639	6384	376423	0.18758949373444236	0.7937533041286	0.9025	0.9105	16.313	0.6822427875971013	0.29474385289061467	9.998904776283928e-5	0.006917424122501881	2.0396878922796484e-5	0.31061874819033125	0.2286882545459544	0.7196949293978268	0.7362345508063987	Retained By Filtering
M300557	63	34.30020695902455	3.7338537539733463	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	1.7421	41042748	35099682	771902	9910211	6156412200	5150955763	437286325	0.570108	0.539916	0.408156	35099682	35091648	34894356	5717	195821	1344	35093965	34895827	34893012	34892338	28426364	6465974	0.721	6345889	1560174	19408	182394	8107865	0.1924272296097678	0.7826831107819383	0.9633	0.9664	17.9878	0.14480185391095157	0.07102940979163157	1.3929379192640805e-4	0.004771147390033435	3.2746345347051325e-5	0.8501462426443765	0.6926038188281155	0.8098752575593136	0.8146878549668984	Retained By Filtering
M300558	0	1	0	Caecum right	negative	MSEB0006	G121eI101Z	L06	NA	NA	NA	Plate96_Covaris_520272	NA	0	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	0.4035	3689064	148112	61910	3140566	553359600	20412588	204055768	0.776181	0.559077	0.253603	148112	146188	101780	1362	44056	435	146750	102132	101345	101132	5583	95549	0.3955	30973	27533	36	210	58752	0.4686308551198257	0.5271820533769063	0.6729	0.6962	14.4207	0.9598510624917324	0.36875797944049404	3.691993416216146e-4	0.01194232466555202	1.1791608928443637e-4	0.02741399986554855	0.0015133920148850766	0.037694447445176624	0.05520507851125262	Excluded By Filtering
M300559	81	37.05245234419358	3.9020363245679945	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Fail	4	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	16.4128	45343430	43413546	663192	6146613	6801514500	6405903690	181617755	0.529837	0.522284	0.140972	43413546	43409956	43407124	2218	2697	377	43411328	43407259	43406747	43406378	36313466	7092912	0.7256	8093102	1865408	21356	242244	10222110	0.182487568613525	0.7917251917656922	0.9334	0.9389	18.1762	0.042561491267863946	0.02670254617556134	4.891557608235636e-5	5.947939977191845e-5	8.314324699300428e-6	0.957280426293291	0.800853971567656	0.8364547323547356	0.836592861998299	Retained By Filtering
M300560	75	35.570470842814665	4.043721354282633	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	8.8343	42538238	40291514	612994	7044236	6380735700	5923110635	219825716	0.526683	0.516025	0.209627	40291514	39566286	39552250	716249	13839	482	39575265	39552447	39551768	39551396	32811023	6740373	0.6938	7678279	2047207	19194	222492	9967172	0.20539497060951692	0.7703568273929656	0.9348	0.9402	18.182	0.05281657411385963	0.03445146866058094	0.01683776840968354	3.2533082352870376e-4	1.1330981786316584e-5	0.9297845387954244	0.7713300912933911	0.8143407815352881	0.8295793908260533	Retained By Filtering
M300561	78	35.09244016171346	4.064154703327359	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	2	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	7.9348	47322288	45468196	752032	5279444	7098343200	6731590640	151106425	0.521656	0.514693	0.233104	45468196	45456226	44423412	9969	1027952	995	45458227	44428274	44422417	44421888	36987261	7434627	0.7365999999999999	8595620	2334200	20547	244052	11194419	0.2085146178644912	0.7678486931746972	0.9408	0.9458	18.1387	0.03918010050570674	0.02128756256812153	2.1066183444046492e-4	0.021722364734350966	2.102603322983876e-5	0.9387096414273122	0.781603395845949	0.8134754455619924	0.8326359518983074	Retained By Filtering
M300562	80	37.85421515173593	4.008044989319108	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	2	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	7.9649	46776708	45532388	660468	4315530	7016506200	6756448275	103067261	0.519839	0.515771	0.246612	45532388	45527262	45520216	3495	6859	475	45528893	45520403	45519741	45519312	37798210	7721102	0.7363	8697193	1986805	21709	239315	10945022	0.1815259028259605	0.7946254470753918	0.946	0.9505	18.1831	0.026601273437198703	0.014689256741481964	7.471667309294189e-5	1.466328070799681e-4	1.0154626529083662e-5	0.9731191857280764	0.8080562231955272	0.8301389771166845	0.8303774450721048	Retained By Filtering
M300563	83	37.64776950858158	3.9623254276962214	Caecum right	positive	MSEB0006	G121eI101B	L06	NA	NA	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	TecanUDI_A_8nt	NA	14.2	49151014	46637910	768838	5225104	7372652100	6926523798	174165920	0.527617	0.51754	0.128353	46637910	46609378	46607266	26671	1954	458	46611239	46607424	46606808	46606362	38766420	7839942	0.7458	8721997	2013423	21988	253106	11010514	0.1828636701247553	0.7921516652174458	0.9314	0.9371	18.2183	0.05113025745511578	0.023623238644340752	5.426337694681131e-4	3.975502926552034e-5	9.318220779738136e-6	0.948227883965934	0.7887206558953188	0.8312212103844276	0.831783866760508	Retained By Filtering
