Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
A1,Plate 1_A2,35 bp to 100 bp,0.0077,10.6,0.2379,53,30.7,300,4.2,1,Negative,0.01,FA_A
A1,Plate 1_A2,100 bp to 200 bp,0.0025,3.4,0.0295,137,20.78,300,4.2,1,Negative,0.01,FA_A
A1,Plate 1_A2,200 bp to 1000 bp,0.0383,52.9,0.1703,370,32.9,300,4.2,1,Negative,0.01,FA_A
B1,Plate 1_B2,35 bp to 100 bp,0.0448,28.3,0.8394,88,19.98,300,5.1,1,Positive,0.01,FA_A
B1,Plate 1_B2,100 bp to 200 bp,0.007,4.4,0.0912,126,19.94,300,5.1,1,Positive,0.01,FA_A
B1,Plate 1_B2,200 bp to 1000 bp,0.0935,59,0.3721,413,28.77,300,5.1,1,Positive,0.01,FA_A
C1,Plate 1_C2,35 bp to 100 bp,0.0133,4.1,0.3311,66,34.66,300,6.8,1,Positive,0.01,FA_A
C1,Plate 1_C2,100 bp to 200 bp,0.0255,7.8,0.2917,143,20.39,300,6.8,1,Positive,0.01,FA_A
C1,Plate 1_C2,200 bp to 1000 bp,0.2583,79.5,0.9948,427,33.74,300,6.8,1,Positive,0.01,FA_A
D1,Plate 1_D2,35 bp to 100 bp,0.041,13.1,0.8488,79,21.58,300,6,1,Positive,0.01,FA_A
D1,Plate 1_D2,100 bp to 200 bp,0.018,5.7,0.2277,130,20.27,300,6,1,Positive,0.01,FA_A
D1,Plate 1_D2,200 bp to 1000 bp,0.233,74.2,0.9252,414,31.88,300,6,1,Positive,0.01,FA_A
E1,Plate 1_E2,35 bp to 100 bp,0.0159,4,0.4293,61,35.08,300,7.3,1,Positive,0.01,FA_A
E1,Plate 1_E2,100 bp to 200 bp,0.0121,3.1,0.1365,145,21.66,300,7.3,1,Positive,0.01,FA_A
E1,Plate 1_E2,200 bp to 1000 bp,0.3363,85.4,1.293,428,33.24,300,7.3,1,Positive,0.01,FA_A
F1,Plate 1_F2,35 bp to 100 bp,0.0724,20.2,1.3955,85,17.96,300,4.1,1,Positive,0.01,FA_A
F1,Plate 1_F2,100 bp to 200 bp,0.077,21.4,1.0064,126,20.26,300,4.1,1,Positive,0.01,FA_A
F1,Plate 1_F2,200 bp to 1000 bp,0.1955,54.5,0.8109,397,34.2,300,4.1,1,Positive,0.01,FA_A
G1,Plate 1_G2,35 bp to 100 bp,0.0233,13.1,0.5618,68,27.22,300,5.2,1,Negative,0.01,FA_A
G1,Plate 1_G2,100 bp to 200 bp,0.0194,10.9,0.2325,137,23.16,300,5.2,1,Negative,0.01,FA_A
G1,Plate 1_G2,200 bp to 1000 bp,0.1195,67.2,0.4879,403,33,300,5.2,1,Negative,0.01,FA_A
H1,Plate 1_H2,35 bp to 100 bp,0.0081,3.2,0.229,58,34.66,300,6.8,1,Positive,0.01,FA_A
H1,Plate 1_H2,100 bp to 200 bp,0.0056,2.2,0.0662,140,24.42,300,6.8,1,Positive,0.01,FA_A
H1,Plate 1_H2,200 bp to 1000 bp,0.227,89.1,0.9344,400,31.09,300,6.8,1,Positive,0.01,FA_A
A2,Plate 1_A3,35 bp to 100 bp,0.0205,0.6,0.4433,76,25.95,300,7.9,1,Positive,0.1,FA_A
A2,Plate 1_A3,100 bp to 200 bp,0.018,0.5,0.2132,139,23.13,300,7.9,1,Positive,0.1,FA_A
A2,Plate 1_A3,200 bp to 1000 bp,3.3335,97.3,12.7696,430,35.4,300,7.9,1,Positive,0.1,FA_A
B2,Plate 1_B3,35 bp to 100 bp,0.0111,0.4,0.2781,66,28.76,300,8,1,Positive,0.1,FA_A
B2,Plate 1_B3,100 bp to 200 bp,0.0201,0.8,0.2146,154,21.06,300,8,1,Positive,0.1,FA_A
B2,Plate 1_B3,200 bp to 1000 bp,2.4702,96.5,8.8188,461,35.94,300,8,1,Positive,0.1,FA_A
C2,Plate 1_C3,35 bp to 100 bp,0.0156,10.7,0.383,67,28.46,300,5.4,1,Negative,0.1,FA_A
C2,Plate 1_C3,100 bp to 200 bp,0.013,8.9,0.1668,128,20.98,300,5.4,1,Negative,0.1,FA_A
C2,Plate 1_C3,200 bp to 1000 bp,0.0999,68.6,0.4024,408,34.7,300,5.4,1,Negative,0.1,FA_A
D2,Plate 1_D3,35 bp to 100 bp,0.0213,0.6,0.4702,74,25.81,300,8,1,Positive,0.1,FA_A
D2,Plate 1_D3,100 bp to 200 bp,0.0419,1.1,0.4592,150,22.74,300,8,1,Positive,0.1,FA_A
D2,Plate 1_D3,200 bp to 1000 bp,3.5842,96.6,13.0405,452,35.36,300,8,1,Positive,0.1,FA_A
