genome	D300487	D300499
D300418:bin_000001	0	0
D300418:bin_000013	0	0
D300428:bin_000008	0	0
D300430:bin_000010	6.3362140490872365	12.926734343938534
D300432:bin_000001	1.6203644907857735	0
D300435:bin_000001	20.27314481275087	6.176369377360404
D300442:bin_000001	0	0
D300442:bin_000015	0	11.17432870161414
D300443:bin_000002	0	0
D300443:bin_000003	0	26.808008435333882
D300444:bin_000010	21.346380415056913	11.844993390056693
D300452:bin_000016	34.45836703012574	50.18015720326274
D300458:bin_000001	0	0
D300462:bin_000001	249.67868018577434	0
D300472:bin_000003	0	0
D300474:bin_000012	0	0
D300475:bin_000015	0	0
D300479:bin_000001	0	1.2902958405007856
D300479:bin_000005	0	1.287753014036049
D300481:bin_000002	200.67793720824147	9.821184677775209
D300482:bin_000009	0	0
D300491:bin_000003	0	0
D300492:bin_000003	22.120277245030575	7.94099630748128
D300493:bin_000002	0	120.23600198687002
D300499:bin_000015	0	72.5729802205288
D300500:bin_000011	0	0
D300506:bin_000004	77.44212856850257	0
D300509:bin_000001	0	15.928107402600762
D300511:bin_000002	0	194.25351417913888
D300511:bin_000016	0	0
D300514:bin_000003	0	0
D300519:bin_000006	0	0
D300521:bin_000005	0	0
D300521:bin_000006	0	0
D300526:bin_000001	0	0
D300526:bin_000014	0	0
GEXTRA:bin_000001	0	0
GEXTRA:bin_000002	0	0
GEXTRA:bin_000004	0	0
GEXTRA:bin_000006	0	0
GPB:bin_000001	9.697708332731125	7.519930683424436
GPB:bin_000002	8.274939267198622	0
GPB:bin_000003	0	0
GPB:bin_000004	16.200182807106756	7.74955550859682
GPB:bin_000005	0	0
GPB:bin_000009	1.685755335401254	0
GPB:bin_000010	5.817314449548946	19.64733770027675
GPB:bin_000012	0	0
GPB:bin_000014	0	14.965577740908136
GPB:bin_000015	32.11396731496668	15.131726854546782
GPB:bin_000016	0	0
GPB:bin_000017	0.8396646418513972	0
GPB:bin_000019	0	3.0530827650994152
GPB:bin_000020	0	0
GPB:bin_000021	33.69703776551548	12.081129107644479
