Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eD3_1 tile.czi,2,1,0,old ileum
G121eD3_2 tile.czi - Scene #2,3,1,134,old ileum
G121eD3_3 tile.czi,1,1,0,old ileum
G121eO3_1 tile.czi,2,1,164,old colon
G121eO3_2 tile.czi,3,1,93,old colon
G121eO3_3 tile.czi,1,1,386,old colon
G121eI B2-1 stitch.czi,3,1,231,old caecum
G121eI B2-3 stitch.czi,4,1,19,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,1,1815,old caecum
G103bO2_2 tile.czi,1,1,95,young colon
G103bO2_1 tile.czi,3,1,0,young colon
G103bO2 tile.czi,2,1,69,young colon
G103bI3_1 tile.czi,2,1,423,young caecum
G103bI3_2 tiles.czi,3,1,1229,young caecum
G103bI3_3 tiles.czi,1,1,1931,young caecum
G121eI B2-1 stitch.czi,3,79.42,586,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,80.02,1776,old caecum
G103bO2_1 tile.czi,3,80.02,0,young colon
G121eD3_1 tile.czi,2,80.22,0,old ileum
G103bO2_2 tile.czi,1,80.62,40,young colon
G121eI B2-3 stitch.czi,4,80.8,99,old caecum
G103bO2 tile.czi,2,81.2,32,young colon
G121eO3_3 tile.czi,1,81.4,436,old colon
G103bI3_2 tiles.czi,3,81.61,675,young caecum
G103bI3_1 tile.czi,2,82.19,668,young caecum
G103bI3_3 tiles.czi,1,82.19,1499,young caecum
G121eD3_2 tile.czi - Scene #2,3,82.2,228,old ileum
G121eD3_3 tile.czi,1,82.2,0,old ileum
G121eO3_1 tile.czi,2,82.2,561,old colon
G121eO3_2 tile.czi,3,82.6,114,old colon
G121eD3_1 tile.czi,2,158.26,0,old ileum
G121eI B2-1 stitch.czi,3,158.85,689,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,160.04,2458,old caecum
G103bO2_1 tile.czi,3,160.04,0,young colon
G103bO2_2 tile.czi,1,160.84,65,young colon
G103bO2 tile.czi,2,161.2,15,young colon
G103bI3_3 tiles.czi,1,162.22,758,young caecum
G103bI3_2 tiles.czi,3,162.62,552,young caecum
G121eI B2-3 stitch.czi,4,162.8,98,old caecum
G121eO3_2 tile.czi,3,163,140,old colon
G103bI3_1 tile.czi,2,163.21,940,young caecum
G121eO3_3 tile.czi,1,164,108,old colon
G121eD3_2 tile.czi - Scene #2,3,164.6,150,old ileum
G121eD3_3 tile.czi,1,164.6,1,old ileum
G121eO3_1 tile.czi,2,164.6,658,old colon
G121eI B2-1 stitch.czi,3,235.9,404,old caecum
G121eD3_1 tile.czi,2,238.48,37,old ileum
G103bO2_1 tile.czi,3,240.26,0,young colon
G103bO2_2 tile.czi,1,240.86,50,young colon
