microsample	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate
M300001	8980418	6963336	720698	2485512	1347062700	999281872	114937609	0.47032	0.423829	0.436531
M300002	14558836	12373596	655122	3488038	2183825400	1789291038	149596698	0.448213	0.412492	0.555286
M300003	12901846	11998988	382512	2691576	1935276900	1736382137	90067001	0.434136	0.420169	0.580771
M300004	9480700	8562482	500656	2441994	1422105000	1216386868	90096435	0.464202	0.452458	0.167839
M300005	16030760	15518886	220588	3814247	2404614000	2222953349	121701267	0.460772	0.455389	0.590718
M300006	9540676	9176244	103098	3002677	1431101400	1289412583	105887732	0.498022	0.49374	0.105934
M300007	6160042	5027742	76398	5603475	924006300	564751746	267965627	0.550175	0.544956	0.104046
M300008	16264504	15391722	127396	5340839	2439675600	2163889654	197612794	0.468792	0.457018	0.117516
M300009	11621060	10131610	964112	2289652	1743159000	1459549931	79359482	0.439858	0.424243	0.127637
M300010	20527732	9854254	526346	10134737	3079159800	1435741132	653211925	0.575427	0.408382	0.7788
M300011	12748102	12204644	275400	2459901	1912215300	1761026986	83990150	0.422571	0.415375	0.331419
M300012	12384654	11426862	417856	3218762	1857698100	1631629461	112484275	0.439668	0.42475	0.632707
M300013	10945474	10513528	183332	2574735	1641821100	1504386404	87677430	0.430028	0.422689	0.258217
M300014	12404296	12062060	128550	2219233	1860644400	1751701056	71778789	0.448683	0.44348	0.139488
M300015	9165420	8895334	98312	2744145	1374813000	1257566242	89086428	0.493792	0.490407	0.105416
M300016	23770006	207008	71032	22975679	3565500900	28414927	1643882143	0.73905	0.450359	0.933078
M300017	12805574	11131044	1077860	2278128	1920836100	1611960180	80154205	0.438383	0.423151	0.151739
M300018	12231988	11389836	449260	2376216	1834798200	1645332365	80076972	0.423281	0.411397	0.377797
M300019	13595098	13155870	221276	2788777	2039264700	1897786728	87096508	0.420319	0.413809	0.598324
M300020	10523242	9689330	457368	2617722	1578486300	1378466293	92649596	0.439301	0.426463	0.3247
M300021	18537400	17982498	188574	4163454	2780610000	2580917383	139901004	0.426927	0.420353	0.237561
M300022	14548526	14234174	129476	2858270	2182278900	2058571055	89136494	0.466696	0.463202	0.116928
