microsample,cryosection,type,cov_filtering,Xcoord,Ycoord,pixel_x,pixel_y
M305894,G121eI114B,positive,Retained By Filtering,41078.28,37816.56,465.89,278.83
M305896,G121eI114B,positive,Retained By Filtering,40983.24,38030.23,452.56,308.61
M305897,G121eI114B,positive,Retained By Filtering,40009.85,38015.83,316.04,306.6
M305898,G121eI114B,positive,Retained By Filtering,39782.95,38268.1,284.22,341.76
M305899,G121eI114B,positive,Retained By Filtering,39854.13,38850.81,294.2,422.98
M305900,G121eI114B,positive,Retained By Filtering,39948.87,39242.8,307.49,477.62
M305901,G121eI114B,positive,Retained By Filtering,39749.04,39563.17,279.46,522.27
M305902,G121eI114B,positive,Retained By Filtering,40294.09,40164.16,355.91,606.03
M305903,G121eI114B,positive,Retained By Filtering,40635.63,40209.04,403.81,612.29
M305904,G121eI114B,positive,Retained By Filtering,40013.2,39990.63,316.51,581.85
M305905,G121eI114B,positive,Retained By Filtering,40420.89,39521.76,373.69,516.5
M305906,G121eI114B,positive,Retained By Filtering,40556.62,39171.79,392.73,467.72
M305908,G121eI114B,positive,Retained By Filtering,40705.92,38891.92,413.67,428.71
M305909,G121eI114B,positive,Retained By Filtering,41140.21,38832.85,474.58,420.48
M305910,G121eI114B,positive,Retained By Filtering,40840.85,39505.47,432.59,514.23
M305911,G121eI114B,positive,Retained By Filtering,41302.8,39530.32,497.38,517.69
M305913,G121eI114B,positive,Retained By Filtering,41290.79,39216.15,495.7,473.9
M305914,G121eI114B,positive,Retained By Filtering,41465.96,38957.92,520.27,437.91
M305915,G121eI114B,positive,Retained By Filtering,41702.37,38663.54,553.42,396.88
M305916,G121eI114B,positive,Retained By Filtering,41654.17,38434.07,546.66,364.9
M305917,G121eI114B,positive,Retained By Filtering,41596.52,38145.53,538.58,324.68
M305918,G121eI114B,positive,Excluded By Filtering,42165.1,38529.86,618.32,378.25
M305919,G121eI114B,positive,Retained By Filtering,42355.95,38125.67,645.09,321.91
M305920,G121eI114B,positive,Retained By Filtering,42243.68,37875.91,629.34,287.1
M305922,G121eI114B,positive,Retained By Filtering,41926.07,38062.96,584.8,313.17
M305923,G121eI114B,positive,Retained By Filtering,41855.22,38295.89,574.86,345.64
M305924,G121eI114B,positive,Retained By Filtering,41878.31,39075.59,578.1,454.31
M305925,G121eI114B,positive,Retained By Filtering,41650.82,39220.97,546.19,474.57
M305926,G121eI114B,positive,Retained By Filtering,42860.42,38894.24,715.84,429.03
M305927,G121eI114B,positive,Retained By Filtering,43017.96,39150.24,737.94,464.71
M305928,G121eI114B,positive,Retained By Filtering,42616.78,39144.3,681.67,463.89
M305929,G121eI114B,positive,Retained By Filtering,42284.19,39083.64,635.02,455.43
M305930,G121eI114B,positive,Retained By Filtering,42123.25,39371.12,612.45,495.5
M305932,G121eI114B,positive,Retained By Filtering,42002.46,39634.99,595.51,532.28
