ID,cryosection,experiment_bioproject,run_accession,experiment_accession,sample_accession,biosample_accession,submission_accession
M300554,G121eI101B,PRJEB86258,ERR15561742,ERX14965307,ERS26792913,SAMEA120135454,ERA34898402
M300555,G121eI101M,PRJEB86258,ERR15561662,ERX14965227,ERS26792833,SAMEA120135374,ERA34898322
M300556,G121eI101B,PRJEB86258,ERR15561714,ERX14965279,ERS26792885,SAMEA120135426,ERA34898374
M300557,G121eI101B,PRJEB86258,ERR15561718,ERX14965283,ERS26792889,SAMEA120135430,ERA34898378
M300558,G121eI101Z,PRJEB86258,ERR15561659,ERX14965224,ERS26792830,SAMEA120135371,ERA34898319
M300559,G121eI101B,PRJEB86258,ERR15561731,ERX14965296,ERS26792902,SAMEA120135443,ERA34898391
M300560,G121eI101B,PRJEB86258,ERR15561710,ERX14965275,ERS26792881,SAMEA120135422,ERA34898370
M300561,G121eI101B,PRJEB86258,ERR15561747,ERX14965312,ERS26792917,SAMEA120135458,ERA34898407
M300562,G121eI101B,PRJEB86258,ERR15561713,ERX14965278,ERS26792884,SAMEA120135425,ERA34898373
M300563,G121eI101B,PRJEB86258,ERR15561736,ERX14965301,ERS26792907,SAMEA120135448,ERA34898396
M300564,G121eI101B,PRJEB86258,ERR15561661,ERX14965226,ERS26792832,SAMEA120135373,ERA34898321
M300565,G121eI101M,PRJEB86258,ERR15561698,ERX14965263,ERS26792869,SAMEA120135410,ERA34898358
M300566,G121eI101B,PRJEB86258,ERR15561738,ERX14965303,ERS26792909,SAMEA120135450,ERA34898398
M300567,G121eI101B,PRJEB86258,ERR15561722,ERX14965287,ERS26792893,SAMEA120135434,ERA34898382
M300568,G121eI101Z,PRJEB86258,ERR15561712,ERX14965277,ERS26792883,SAMEA120135424,ERA34898372
M300569,G121eI101B,PRJEB86258,ERR15561705,ERX14965270,ERS26792876,SAMEA120135417,ERA34898365
M300570,G121eI101B,PRJEB86258,ERR15561739,ERX14965304,ERS26792910,SAMEA120135451,ERA34898399
M300571,G121eI101B,PRJEB86258,ERR15561728,ERX14965293,ERS26792899,SAMEA120135440,ERA34898388
M300572,G121eI101B,PRJEB86258,ERR15561688,ERX14965253,ERS26792859,SAMEA120135400,ERA34898348
M300573,G121eI101M,PRJEB86258,ERR15561678,ERX14965243,ERS26792849,SAMEA120135390,ERA34898338
M300574,G121eI101B,PRJEB86258,ERR15561708,ERX14965273,ERS26792879,SAMEA120135420,ERA34898368
M300575,G121eI101R,PRJEB86258,ERR15561723,ERX14965288,ERS26792894,SAMEA120135435,ERA34898383
M300576,G121eI101B,PRJEB86258,ERR15561717,ERX14965282,ERS26792888,SAMEA120135429,ERA34898377
M300577,G121eI101B,PRJEB86258,ERR15561743,ERX14965308,ERS26792914,SAMEA120135455,ERA34898403
M300578,G121eI101B,PRJEB86258,ERR15561733,ERX14965298,ERS26792904,SAMEA120135445,ERA34898393
M300579,G121eI101M,PRJEB86258,ERR15561701,ERX14965266,ERS26792872,SAMEA120135413,ERA34898361
M300580,G121eI101B,PRJEB86258,ERR15561721,ERX14965286,ERS26792892,SAMEA120135433,ERA34898381
M300581,G121eI101B,PRJEB86258,ERR15561720,ERX14965285,ERS26792891,SAMEA120135432,ERA34898380
M300582,G121eI101B,PRJEB86258,ERR15561691,ERX14965256,ERS26792862,SAMEA120135403,ERA34898351
M300583,G121eI101B,PRJEB86258,ERR15561726,ERX14965291,ERS26792897,SAMEA120135438,ERA34898386
M300584,G121eI101B,PRJEB86258,ERR15561741,ERX14965306,ERS26792912,SAMEA120135453,ERA34898401
M300585,G121eI101Z,PRJEB86258,ERR15561668,ERX14965233,ERS26792839,SAMEA120135380,ERA34898328
M300586,G121eI101M,PRJEB86258,ERR15561695,ERX14965260,ERS26792866,SAMEA120135407,ERA34898355
M300587,G121eI101R,PRJEB86258,ERR15561653,ERX14965218,ERS26792824,SAMEA120135365,ERA34898313
M300588,G121eI101B,PRJEB86258,ERR15561749,ERX14965314,ERS26792919,SAMEA120135460,ERA34898413
M300589,G121eI101B,PRJEB86258,ERR15561740,ERX14965305,ERS26792911,SAMEA120135452,ERA34898400
M300590,G121eI101B,PRJEB86258,ERR15561724,ERX14965289,ERS26792895,SAMEA120135436,ERA34898384
M300591,G121eI101B,PRJEB86258,ERR15561709,ERX14965274,ERS26792880,SAMEA120135421,ERA34898369
M300592,G121eI101B,PRJEB86258,ERR15561727,ERX14965292,ERS26792898,SAMEA120135439,ERA34898387
M300593,G121eI101B,PRJEB86258,ERR15561732,ERX14965297,ERS26792903,SAMEA120135444,ERA34898392
M300594,G121eI101B,PRJEB86258,ERR15561730,ERX14965295,ERS26792901,SAMEA120135442,ERA34898390
M300595,G121eI101B,PRJEB86258,ERR15561725,ERX14965290,ERS26792896,SAMEA120135437,ERA34898385
M300596,G121eI101B,PRJEB86258,ERR15561748,ERX14965313,ERS26792918,SAMEA120135459,ERA34898408
M300597,G121eI101B,PRJEB86258,ERR15561737,ERX14965302,ERS26792908,SAMEA120135449,ERA34898397
M300598,G121eI101B,PRJEB86258,ERR15561746,ERX14965311,ERS26792916,SAMEA120135457,ERA34898406
M300599,G121eI101B,PRJEB86258,ERR15561729,ERX14965294,ERS26792900,SAMEA120135441,ERA34898389
M300600,G121eI101Z,PRJEB86258,ERR15561692,ERX14965257,ERS26792863,SAMEA120135404,ERA34898352
M300601,G121eI101M,PRJEB86258,ERR15561676,ERX14965241,ERS26792847,SAMEA120135388,ERA34898336
M300602,G121eD101C,PRJEB86258,ERR15561674,ERX14965239,ERS26792845,SAMEA120135386,ERA34898334
M300603,G121eD101C,PRJEB86258,ERR15561716,ERX14965281,ERS26792887,SAMEA120135428,ERA34898376
M300604,G121eD101M,PRJEB86258,ERR15561665,ERX14965230,ERS26792836,SAMEA120135377,ERA34898325
M300605,G121eD101C,PRJEB86258,ERR15561699,ERX14965264,ERS26792870,SAMEA120135411,ERA34898359
M300606,G121eD101C,PRJEB86258,ERR15561656,ERX14965221,ERS26792827,SAMEA120135368,ERA34898316
M300607,G121eD101R,PRJEB86258,ERR15561693,ERX14965258,ERS26792864,SAMEA120135405,ERA34898353
M300608,G121eD101C,PRJEB86258,ERR15561672,ERX14965237,ERS26792843,SAMEA120135384,ERA34898332
M300609,G121eD101C,PRJEB86258,ERR15561707,ERX14965272,ERS26792878,SAMEA120135419,ERA34898367
M300610,G121eD101C,PRJEB86258,ERR15561680,ERX14965245,ERS26792851,SAMEA120135392,ERA34898340
M300611,G121eD101C,PRJEB86258,ERR15561670,ERX14965235,ERS26792841,SAMEA120135382,ERA34898330
M300612,G121eD101C,PRJEB86258,ERR15561706,ERX14965271,ERS26792877,SAMEA120135418,ERA34898366
M300613,G121eD101C,PRJEB86258,ERR15561658,ERX14965223,ERS26792829,SAMEA120135370,ERA34898318
M300614,G121eD101M,PRJEB86258,ERR15561702,ERX14965267,ERS26792873,SAMEA120135414,ERA34898362
M300615,G121eD101Z,PRJEB86258,ERR15561686,ERX14965251,ERS26792857,SAMEA120135398,ERA34898346
M300616,G121eD101C,PRJEB86258,ERR15561690,ERX14965255,ERS26792861,SAMEA120135402,ERA34898350
M300617,G121eD101C,PRJEB86258,ERR15561664,ERX14965229,ERS26792835,SAMEA120135376,ERA34898324
M300618,G121eD101M,PRJEB86258,ERR15561677,ERX14965242,ERS26792848,SAMEA120135389,ERA34898337
M300619,G121eD101C,PRJEB86258,ERR15561684,ERX14965249,ERS26792855,SAMEA120135396,ERA34898344
M300620,G121eD101Z,PRJEB86258,ERR15561667,ERX14965232,ERS26792838,SAMEA120135379,ERA34898327
M300621,G121eD101C,PRJEB86258,ERR15561719,ERX14965284,ERS26792890,SAMEA120135431,ERA34898379
M300622,G121eD101C,PRJEB86258,ERR15561666,ERX14965231,ERS26792837,SAMEA120135378,ERA34898326
M300623,G121eD101C,PRJEB86258,ERR15561683,ERX14965248,ERS26792854,SAMEA120135395,ERA34898343
M300624,G121eD101C,PRJEB86258,ERR15561660,ERX14965225,ERS26792831,SAMEA120135372,ERA34898320
M300625,G121eD101C,PRJEB86258,ERR15561694,ERX14965259,ERS26792865,SAMEA120135406,ERA34898354
M300626,G121eD101Z,PRJEB86258,ERR15561700,ERX14965265,ERS26792871,SAMEA120135412,ERA34898360
M300627,G121eD101C,PRJEB86258,ERR15561671,ERX14965236,ERS26792842,SAMEA120135383,ERA34898331
M300628,G121eD101C,PRJEB86258,ERR15561703,ERX14965268,ERS26792874,SAMEA120135415,ERA34898363
M300629,G121eD101C,PRJEB86258,ERR15561675,ERX14965240,ERS26792846,SAMEA120135387,ERA34898335
M300630,G121eD101C,PRJEB86258,ERR15561735,ERX14965300,ERS26792906,SAMEA120135447,ERA34898395
M300631,G121eD101C,PRJEB86258,ERR15561681,ERX14965246,ERS26792852,SAMEA120135393,ERA34898341
M300632,G121eD101M,PRJEB86258,ERR15561655,ERX14965220,ERS26792826,SAMEA120135367,ERA34898315
M300633,G121eD101C,PRJEB86258,ERR15561687,ERX14965252,ERS26792858,SAMEA120135399,ERA34898347
M300634,G121eD101C,PRJEB86258,ERR15561682,ERX14965247,ERS26792853,SAMEA120135394,ERA34898342
M300635,G121eD101R,PRJEB86258,ERR15561711,ERX14965276,ERS26792882,SAMEA120135423,ERA34898371
M300636,G121eD101C,PRJEB86258,ERR15561663,ERX14965228,ERS26792834,SAMEA120135375,ERA34898323
M300637,G121eD101C,PRJEB86258,ERR15561697,ERX14965262,ERS26792868,SAMEA120135409,ERA34898357
M300638,G121eD101C,PRJEB86258,ERR15561673,ERX14965238,ERS26792844,SAMEA120135385,ERA34898333
M300639,G121eD101C,PRJEB86258,ERR15561715,ERX14965280,ERS26792886,SAMEA120135427,ERA34898375
M300640,G121eD101C,PRJEB86258,ERR15561657,ERX14965222,ERS26792828,SAMEA120135369,ERA34898317
M300641,G121eD101M,PRJEB86258,ERR15561669,ERX14965234,ERS26792840,SAMEA120135381,ERA34898329
M300642,G121eD101C,PRJEB86258,ERR15561704,ERX14965269,ERS26792875,SAMEA120135416,ERA34898364
M300643,G121eD101M,PRJEB86258,ERR15561654,ERX14965219,ERS26792825,SAMEA120135366,ERA34898314
M300644,G121eD101C,PRJEB86258,ERR15561744,ERX14965309,ERS26792915,SAMEA120135456,ERA34898404
M300645,G121eD101C,PRJEB86258,ERR15561685,ERX14965250,ERS26792856,SAMEA120135397,ERA34898345
M300646,G121eD101Z,PRJEB86258,ERR15561696,ERX14965261,ERS26792867,SAMEA120135408,ERA34898356
M300647,G121eD101C,PRJEB86258,ERR15561689,ERX14965254,ERS26792860,SAMEA120135401,ERA34898349
M300648,G121eD101C,PRJEB86258,ERR15561734,ERX14965299,ERS26792905,SAMEA120135446,ERA34898394
