sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 1_A2	35 bp to 100 bp	0.0077	10.6	0.2379	53	1	Negative	0.01
Plate 1_A2	100 bp to 200 bp	0.0025	3.4	0.0295	137	1	Negative	0.01
Plate 1_A2	200 bp to 1000 bp	0.0383	52.9	0.1703	370	1	Negative	0.01
Plate 1_B2	35 bp to 100 bp	0.0448	28.3	0.8394	88	1	Positive	0.01
Plate 1_B2	100 bp to 200 bp	0.007	4.4	0.0912	126	1	Positive	0.01
Plate 1_B2	200 bp to 1000 bp	0.0935	59	0.3721	413	1	Positive	0.01
Plate 1_C2	35 bp to 100 bp	0.0133	4.1	0.3311	66	1	Positive	0.01
Plate 1_C2	100 bp to 200 bp	0.0255	7.8	0.2917	143	1	Positive	0.01
Plate 1_C2	200 bp to 1000 bp	0.2583	79.5	0.9948	427	1	Positive	0.01
Plate 1_D2	35 bp to 100 bp	0.041	13.1	0.8488	79	1	Positive	0.01
Plate 1_D2	100 bp to 200 bp	0.018	5.7	0.2277	130	1	Positive	0.01
Plate 1_D2	200 bp to 1000 bp	0.233	74.2	0.9252	414	1	Positive	0.01
Plate 1_E2	35 bp to 100 bp	0.0159	4	0.4293	61	1	Positive	0.01
Plate 1_E2	100 bp to 200 bp	0.0121	3.1	0.1365	145	1	Positive	0.01
Plate 1_E2	200 bp to 1000 bp	0.3363	85.4	1.293	428	1	Positive	0.01
Plate 1_F2	35 bp to 100 bp	0.0724	20.2	1.3955	85	1	Positive	0.01
Plate 1_F2	100 bp to 200 bp	0.077	21.4	1.0064	126	1	Positive	0.01
Plate 1_F2	200 bp to 1000 bp	0.1955	54.5	0.8109	397	1	Positive	0.01
Plate 1_G2	35 bp to 100 bp	0.0233	13.1	0.5618	68	1	Negative	0.01
Plate 1_G2	100 bp to 200 bp	0.0194	10.9	0.2325	137	1	Negative	0.01
Plate 1_G2	200 bp to 1000 bp	0.1195	67.2	0.4879	403	1	Negative	0.01
Plate 1_H2	35 bp to 100 bp	0.0081	3.2	0.229	58	1	Positive	0.01
Plate 1_H2	100 bp to 200 bp	0.0056	2.2	0.0662	140	1	Positive	0.01
Plate 1_H2	200 bp to 1000 bp	0.227	89.1	0.9344	400	1	Positive	0.01
Plate 1_A3	35 bp to 100 bp	0.0205	0.6	0.4433	76	1	Positive	0.1
Plate 1_A3	100 bp to 200 bp	0.018	0.5	0.2132	139	1	Positive	0.1
Plate 1_A3	200 bp to 1000 bp	3.3335	97.3	12.7696	430	1	Positive	0.1
Plate 1_B3	35 bp to 100 bp	0.0111	0.4	0.2781	66	1	Positive	0.1
Plate 1_B3	100 bp to 200 bp	0.0201	0.8	0.2146	154	1	Positive	0.1
Plate 1_B3	200 bp to 1000 bp	2.4702	96.5	8.8188	461	1	Positive	0.1
